No,Username,Rating,Waktu,Ulasan Text,Variasi,panjang_teks,has_noise,Tahun,Bulan
69,sitinuranisukmayanti,5,2025-06-20 08:28,"Rasa: enak,empuk,wangi ketan'y berasa.pertahankan kualitas ya kak. Orderan yg ke dua, order 3pc tp dikirim 2pc. Tp alhamdulillah seller'y gercep lngsung refund kekurangan'y.. Mkasih byk ya kak,semoga slalu dilancarkan usaha'y....aamiin 1 r*****y",-,245,False,2025,6
70,r*****y,5,2025-08-13 08:13,"Packingaan rapi, produk aman sampai tujuan. Dapet harga promo 8 8. Kali pertama beli  semoga enak rasanya. Terima kasih seller 0:30",-,131,False,2025,8
71,irmana1981,5,2025-08-15 23:33,"Rasa: pas Tekstur: lembut Kegunaan: untuk bahan kue makasih tepung ketan ny sudah smp, kualitas bagus ..hrg terjangkau .. pengiriman cepat packing rapi.. makasih reseller👍🏻 0:07",-,177,False,2025,8
72,dwiriy19,5,2025-08-09 10:24,"Rasa: enak bgt legit Tekstur: teksturnya ringan Kegunaan: cocok untuk bolu ketan hitam🥰💸 Aku suka bgt sama warnanya, warnanya tuh dapet bgt💕",-,140,False,2025,8
73,j*****i,5,2025-08-01 14:24,Rasa: baru mau coba semoga enak Tekstur: sangat lembut Kegunaan: cocok untuk membuat berbagai macam kue 0:04,-,108,False,2025,8
74,aam.amalia67,5,2025-07-20 15:28,Ke 2x nya beli tepung ketan disini. Tepungnya lembut harum dan tidak masir di bolunya. Pokoknya enak. 1 1 2 ... 10 11 12 13 14 ...,-,130,True,2025,7
75,i*****i,5,2025-07-07 07:15,Rasa: belum dicoba semoga enak Tekstur: memiliki tekstur yang halus Kegunaan: cocok untuk membuat kue belum dicoba semoga enak dan kadaluarsa nya juga masih jauh 1 tahun 0:08 1 m*****9,-,184,False,2025,7
76,m*****9,5,2025-06-21 13:49,"Cocok Untuk: bahan kue Kualitas: bagus Alhamdulillah paket sampai dengan selamat,,, packing nya pun aman terimakasih 0:07 1 a*****2",-,131,False,2025,6
77,a*****2,5,2025-07-16 00:45,"Rasa: enak Tekstur: tekstur khas tepung ketan hitam, kres kres Kegunaan: untuk membuat bolu kukus Saran aja kalo bisa bubble wrapnya jangan cuma selapis (atau dilapis kardus disalah satu atau dua sisinya) kena cutter dikit auto ambyar kemasan plastiknya makasih 🙏 0:07 1 laras.trisnanti",-,286,False,2025,7
78,laras.trisnanti,5,2025-06-06 18:29,"Dibikin bolu jd bagus. Lembut, ngembang sempurna. Menul² banget gais... Dukung UMKM🥰 2 ikketheaa | Langganan",-,108,False,2025,6
79,Langganan,5,2022-03-05 12:18,Paketnya sampai mksih seller dan kurir🙂 0:07 1 ucial_07,-,55,False,2022,3
80,ucial_07,5,2025-07-09 19:48,Rasa: enakk dan puass Tekstur: haluss tidak kasar Kegunaan: cocok bangett buat boluu Orderr ke2× nya😍😍 1 1 2 ... 11 12 13 14 15 ...,-,131,True,2025,7
81,Langganan,5,2022-03-05 12:18,Paketnya sampai mksih seller dan kurir🙂 0:07 1,-,46,False,2022,3
82,tetisoleha,5,2025-07-12 00:01,"Rasa: tawar Tekstur: lembut Kegunaan: untuk kue bolu Kemasan aman , dr segi harga juga muraj dibanding yg lain , pengiriman cepat dan kwalitas ok 0:09 1 m*****3",-,160,False,2025,7
83,m*****3,5,2023-08-06 15:42,Cocok Untuk: bolu kukus dan bolu panggang Kualitas: sangat baik sekali 1 r.andini.p,-,83,False,2023,8
84,r.andini.p,5,2025-06-21 09:30,"Cocok Untuk: kue bolu Barang sampai dgn aman ga, nyru tepung ketan hitam susah bgt pada mahal2 dsni masih agak terjangkau 0:07 1 juhartiyah",-,139,False,2025,6
85,juhartiyah,5,2025-06-21 09:48,Cocok Untuk: buat kue ketan hitam viral Kualitas: sangat bagus warnanya sangat hitam bagus banget buat bikin bolu ketan hitam viral 0:04 1 dwiriy19,-,147,False,2025,6
86,dwiriy19,5,2025-09-12 20:39,Ini ketan terbaik bener deh aku suka banget cocok buat bolu aku sukaaa 0:04,-,75,False,2025,9
87,wulanmeilani015,5,2025-07-19 10:50,Rasa: pas Tekstur: halus Kegunaan: cocok tuk bikin kueh 0:10 1 1 2 ... 12 13 14 15 16 ...,-,89,True,2025,7
88,stellafelicia420,5,2025-08-02 11:56,Rasa: pas di lidah dan tidak terlalu manis Tekstur: memiliki tekstur yang bagus Kegunaan: cocok untuk membuat kue yg lezat 0:28,-,127,False,2025,8
89,y*****y,5,2025-07-27 21:21,"Rasa: enak Tekstur: lembut Kegunaan: cocok untuk dibuat kue Alhamdulillah pesanannya sudah sampai,barangnya sesuai pesanan,cocok untuk dibuat bolu ketan 0:06",-,157,False,2025,7
90,sieklie540111,5,2025-12-09 09:24,Rasa: tepung ketan hitam untuk bikin kue belum di coba semoga enak kue nya sesuai selers 0:04,-,93,False,2025,12
91,a*****a,5,2025-07-09 10:33,"Produk seperti diskripsi, peoduk tdk rusak saya terima. Terima kasih 1 yellysany",-,80,False,2025,7
92,yellysany,5,2025-07-17 15:22,Rasa: ketan hitam Tekstur: bubuk Kegunaan: bikin bolu Sudah chat admin minta dikirim pakai dus takutnya pecah atau sobek tapi ternyata dikirim ga pakai dus untungnya aman ga DA yg bocor 0:14 1 nabilaazra_11,-,206,False,2025,7
93,nabilaazra_11,5,2025-06-09 01:42,"Rasa: memuaskan enakk Kegunaan: cocok untuk bolu Tekstur: lembut, tidak terlalu berpasir Penjual responsif, barang juga cepat sampai, rasanya enak, teksturnya bagus 2 1 2 ... 13 14 15 16 17 ...",-,193,True,2025,6
94,d*****l,5,2025-06-21 13:32,Cocok Untuk: makanan Kualitas: ok Alhamdulillah sudah sampai pesanan saya. Anak saya suka sekali. Bagus sekali. Barakallah. Recomended seller. 0:06 1 w*****g,-,157,False,2025,6
95,w*****g,5,2025-07-14 20:50,Rasa: memuaskan Tekstur: lembut Kegunaan: untuk kue Terimakasih semoga cocok untuk buat kue . Mudah mudahan beli kembali . Terimakasih 0:06 1 herawardana,-,153,False,2025,7
96,herawardana,5,2025-06-11 07:57,Rasa: mantap Kegunaan: cocok untuk membuat Kue Tekstur: sangat Halus 1 s*****l,-,78,False,2025,6
97,s*****l,5,2022-10-04 06:16,"Kualitas: lumayan Cocok Untuk: kue bolu, putu ayu Alhamdulillah sudah sampai, untuk packing mohon ditingkatkan lagi soalnya masih pakai plastik depany 0:10 2 kasringga",-,167,False,2022,10
98,kasringga,5,2022-03-24 17:18,"Jenis: ketan hitam Harga: murah Kualitas: Belum tau Sudah sampe tepung nya, packing an nya aman banget, di pakek in bubble wrap,, datang sesuai pesanan , 2 bungkus, tapi yg satu bungkus ada lubang kecil, jadi sedikit buyar tepung nya pas di buka tadi, tp ngk pp deh. Terima kasih 0:13 1 anggi_fitriana | Langganan",-,313,False,2022,3
99,Langganan,5,2022-02-19 07:02,Jenis: bubuk ketan hitam Harga: murah Kualitas: baik 1 1 2 ... 14 15 16 17 18 ...,-,81,True,2022,2
100,t*****9,5,2025-11-21 16:17,"Pesanan sudah sampai kk. Terimakasih. Terlihat kualitas nya bagus. Baru mau coba, smoga hasilnya memuaskan.",-,107,False,2025,11
101,mianurmafiani,5,2025-06-23 12:10,"Paket sudah sampai dengan keadaan baik, terimakasih 0:13 1 c*****d",-,66,False,2025,6
102,c*****d,5,2025-08-07 10:24,Pengirimannya cepat packingannya aman pake bubble. Mau bikin bolu ketan hitam smoga jadi,-,88,False,2025,8
103,l*****i,5,2025-11-21 08:26,"Rasa: enak Tekstur: lembut Kegunaan: cocok untuk kue Alhamdulillah paket sdh sampai, pengiriman cpt, packing rapi, hrga oke dan realpict. Terimakasih seller",-,156,False,2025,11
104,wetriyputri,5,2025-08-30 22:02,"Desain sangat menanrik dan bagus, ukuran pas dan sesuai, kualitas bagus dan memuaskan 0:04",-,90,False,2025,8
105,i*****4,5,2025-11-14 17:57,Rasa: enak Tekstur: lembut Kegunaan: untuk membuat bolu ketan hitam Alhamdulillah dapet harga murah pas 11.11.. Pengiriman cepat.. Rasa enal,-,140,False,2025,11
106,l*****i,5,2026-01-22 08:39,"Rasa: enak Tekstur: bagus Kegunaan: untuk kue Alhamdulillah paket sdh sampai, pengiriman cpt, packing rapih, hrga oke dan realpict. Terimakasih seller",-,150,False,2026,1
107,aripinbuana,5,2022-04-06 12:52,Alhamdulillah paket sudah diterima pengiriman barang cepat barang sesuai pesanan kurir ramah 1 fitriaevisriwianti,-,113,False,2022,4
108,fitriaevisriwianti,5,2025-06-17 08:01,"Mudah mudahan ketan hitam asli...sesuai harga lah,,,makasih 1 jendelabukushop",-,77,False,2025,6
109,jendelabukushop,5,2026-01-06 13:08,Rasa: Lumayan Tekstur: lembut Kegunaan: cocok untuk ketan hitam Buat pemula cocok untuk jualan ketan hitam 0:04,-,111,False,2026,1
110,y*****u,5,2025-09-04 14:05,Rasa: tawar blm diolah Tekstur: halus Kegunaan: untuk membuat kue Semoga bisa menjadi langganan. Untuk membuat kue tepung ketan hitam. 0:24,-,139,False,2025,9
111,r*****s,5,2025-07-19 10:50,"Kegunaan: untuk ketan hitam Mantap, barang aman sampai tujuan, langganan di toko ini, terimakasih seller 0:04 1 1 2 ... 16 17 18 19 20 ...",-,138,True,2025,7
112,ikketheaa,5,2022-04-28 20:55,Jenis: tepung Harga: lumayan Kualitas: okee Rencana mau bikin kue pas mudik nnti d sanah..mksih seller dan kurir🙂 0:22 1 m*****8,-,128,False,2022,4
113,m*****8,5,2025-07-10 12:20,"Alhamdulillah barangnya sampai dengan dengan selamat dan barang yang datang sesuai pesanan saya , paking nya aman dan rapih. 1 w*****a",-,134,False,2025,7
114,w*****a,5,2022-07-21 19:23,Kualitas: ok Cocok Untuk: saya Sesuaiiiii murahhh 1 lustyto_hermawan,-,68,False,2022,7
115,lustyto_hermawan,5,2025-09-12 19:46,alhamdulillah paket sudah datang pgiriman cepat pgemasan rapih 0:05,-,67,False,2025,9
116,a*****a,5,2025-08-07 15:00,"Kegunaan: untuk membuat kue Di offline nyarinya agak susah, baru mau coba semoga hasilnya memuaskan👍👍",-,101,False,2025,8
117,kimling19,5,2025-06-07 09:47,"Rasa: belum tahu Kegunaan: roti Kualitas: belum tahu baru coba Pesanan sudah saya ambil , ednya tidak jelas /tidak ada , kode produksinya juga tidak ada, packing baik 1:01 1 1 2 ... 17 18 19 20 21 ...",-,200,True,2025,6
118,a*****n,5,2026-02-28 19:47,"Tekstur: ok Rasa: ok Rasakan: ok terima kasih kakak seller, paket sudah sampai di rumah dengan baik, aman, lengkap, cepat, Alhamdulillah... 0:08",-,144,False,2026,2
119,Langganan,5,2022-04-11 22:14,Jenis: tepung Harga: murah Kualitas: bagus Sekian kali nya beli di sini Masih aman aja sih 0:21 1 k*****6,-,105,False,2022,4
120,k*****6,5,2022-08-31 21:23,"Alhamdulillah paket udah nyampe tadi sore, maaf baru bisa kasih ulasan. Thanks seller, bang kurir dan shoppe 0:04 1 nindy.ps",-,124,False,2022,8
121,nindy.ps,5,2022-05-29 15:49,sesuai pesanan.. sesuai gambar.. terimakasih 0:23 1 selaisegar,-,62,False,2022,5
122,selaisegar,5,2025-06-22 21:36,"Salah variant, harusnya satunya tepung sagu tp yaudah lh 1 indhiera",-,67,False,2025,6
123,indhiera,5,2025-07-28 14:51,Rasa: ketan hitam Tekstur: halus Kegunaan: utk kue Okeee 1 1 2 ... 18 19 20 21 22 ...,-,85,True,2025,7
