No,Username,Rating,Waktu,Ulasan Text,Teks_Clean,Sentimen
83,m*****3,5,2023-08-06 15:42,Cocok Untuk: bolu kukus dan bolu panggang Kualitas: sangat baik sekali 1 r.andini.p,cocok bolu kukus bolu panggang kualitas andini,Positif
84,r.andini.p,5,2025-06-21 09:30,"Cocok Untuk: kue bolu Barang sampai dgn aman ga, nyru tepung ketan hitam susah bgt pada mahal2 dsni masih agak terjangkau  1 juhartiyah",cocok kue bolu barang dgn aman ga nyru tepung ketan hitam susah bgt mahal dsni jangkau juhartiyah,Negatif
85,juhartiyah,5,2025-06-21 09:48,Cocok Untuk: buat kue ketan hitam viral Kualitas: sangat bagus warnanya sangat hitam bagus banget buat bikin bolu ketan hitam viral  1 dwiriy19,cocok kue ketan hitam viral kualitas bagus warna hitam bagus banget bikin bolu ketan hitam viral dwiriy,Positif
86,dwiriy19,5,2025-09-12 20:39,Ini ketan terbaik bener deh aku suka banget cocok buat bolu aku sukaaa,ketan baik bener deh suka banget cocok bolu sukaaa,Positif
87,wulanmeilani015,5,2025-07-19 10:50,Rasa: pas Tekstur: halus Kegunaan: cocok tuk bikin kueh  ...,pas tekstur halus guna cocok tuk bikin kueh,Positif
88,stellafelicia420,5,2025-08-02 11:56,Rasa: pas di lidah dan tidak terlalu manis Tekstur: memiliki tekstur yang bagus Kegunaan: cocok untuk membuat kue yg lezat,pas lidah manis tekstur milik tekstur bagus guna cocok kue yg lezat,Positif
89,y*****y,5,2025-07-27 21:21,"Rasa: enak Tekstur: lembut Kegunaan: cocok untuk dibuat kue Alhamdulillah pesanannya sudah sampai,barangnya sesuai pesanan,cocok untuk dibuat bolu ketan",tekstur lembut guna cocok kue alhamdulillah pesan barang sesuai pesan cocok bolu ketan,Positif
90,sieklie540111,5,2025-12-09 09:24,Rasa: tepung ketan hitam untuk bikin kue belum di coba semoga enak kue nya sesuai selers,tepung ketan hitam bikin kue coba moga kue sesuai selers,Positif
91,a*****a,5,2025-07-09 10:33,"Produk seperti diskripsi, peoduk tdk rusak saya terima. Terima kasih 1 yellysany",produk skripsi peoduk tdk rusak terima terima kasih yellysany,Negatif
92,yellysany,5,2025-07-17 15:22,Rasa: ketan hitam Tekstur: bubuk Kegunaan: bikin bolu Sudah chat admin minta dikirim pakai dus takutnya pecah atau sobek tapi ternyata dikirim ga pakai dus untungnya aman ga DA yg bocor  1 nabilaazra_11,ketan hitam tekstur bubuk guna bikin bolu chat admin kirim pakai dus takut pecah sobek kirim ga pakai dus untung aman ga da yg bocor nabilaazra,Negatif
