No,Username,Rating,Waktu,Ulasan_Bersih,Sentimen
200,miftakul_huda333,5,2025-07-15 17:03,gurih tekstur kasar guna bahan kue bolu kue basah produk apek beda merk yg laen,Negatif
201,a*****u,5,2025-06-10 17:03,kuat ketan oke bgt tekstur bolu ga kasar bgt saring warna item pekat guna bolu kukus ketan tekstur bolu kukus ketan ga bantet gatau ngembang dikit tp ga bantet repeat order sih kek bener ga abu minim ketan hitam strong,Netral
202,ani.yuliani,5,2025-12-14 04:43,lezat tekstur lembut guna cocok bahan kue nyoba produk hasil empuk kenyal kue,Positif
203,n*****6,5,2025-07-31 00:07,moga tepung ketan hitam sen deh hehehe asti,Positif
204,asti001242,5,2025-07-10 17:57,gk tau gi coba tekstur lembut guna kue sesuai ekspektasi cuman blum tau hasil lgi coba bikin kue bolu lumer,Positif
205,n*****8,5,2025-08-12 16:20,pas tekstur bagus guna kue mndrt dngn slmt bagus,Positif
206,budisastrini,5,2025-11-01 15:47,muas tekstur lembut guna kue lezat,Positif
207,saanissaa,5,2025-10-02 08:11,lezat tekstur lembut guna cocok bikin kue,Positif
208,azizarahma2101,5,2025-10-31 15:44,blm rasain tunggu kirimin mertua aja guna bolu mertua,Positif
209,dewikunthi88,5,2025-07-11 18:02,order yg kali murah kue ga krenyes bangett enakk,Positif
210,widaazahrahidham,5,2025-09-21 17:37,bgt tekstur lembut guna cocok makan yg lezat,Positif
211,d*****4,5,2026-02-11 21:30,tepung ketan hitam keju manis mas hehe makasih info mbak wkwk nyoba sih mas wkwk emang gak,Positif
212,a*****y,5,2025-06-22 18:59,sesuai selera thankyou seller abang kurir sukses,Positif
213,k1204010100356,5,2025-06-19 16:26,enak ituhhhh udh co beli,Positif
214,karinasafana,5,2022-06-10 16:48,jenis tepung harga standar kualitas bagus udh coba bikin boku ketan tp anak suka,Positif
215,sintaikahapsari,5,2025-06-19 20:11,barang sesuai pesan kualitas ok,Positif
216,nyomanyudiarta76,5,2025-06-16 15:14,muas tekstur lembut,Positif
217,w*****_,5,2025-10-26 17:16,ketan hitam tekstur lembut tepung guna kue boltem,Positif
